matchId,draftgap_prediction,loldraftai_prediction,actual_result,draftgap_error,loldraftai_error,better_model,champion_ids,Blue_Top,Red_Top,Blue_Jungle,Red_Jungle,Blue_Mid,Red_Mid,Blue_ADC,Red_ADC,Blue_Support,Red_Support
EUW1_7295862423,0.5612087830075728,0.6740319132804871,1,0.4387912169924272,0.32596808671951294,LoLDraftAI,"['54', '80', '31', '202', '43', '23', '254', '163', '81', '78']",Malphite,Tryndamere,Pantheon,Vi,Cho'Gath,Taliyah,Jhin,Ezreal,Karma,Poppy
EUW1_7296263263,0.5137853517316456,0.42958012223243713,0,0.5137853517316456,0.42958012223243713,LoLDraftAI,"['86', '9', '34', '222', '267', '10', '5', '112', '51', '43']",Garen,Kayle,Fiddlesticks,Xin Zhao,Anivia,Viktor,Jinx,Caitlyn,Nami,Karma
EUW1_7295638688,0.4201524739271943,0.5548858642578125,0,0.4201524739271943,0.5548858642578125,DraftGap,"['516', '79', '238', '67', '147', '54', '131', '61', '42', '526']",Ornn,Malphite,Gragas,Diana,Zed,Orianna,Vayne,Corki,Seraphine,Rell
EUW1_7296418893,0.6137081691556839,0.601193368434906,0,0.6137081691556839,0.601193368434906,LoLDraftAI,"['62', '80', '3', '81', '43', '31', '64', '55', '96', '101']",Wukong,Cho'Gath,Pantheon,Lee Sin,Galio,Katarina,Ezreal,Kog'Maw,Karma,Xerath
EUW1_7296336948,0.47031685469853834,0.5854865312576294,1,0.5296831453014617,0.4145134687423706,LoLDraftAI,"['82', '238', '134', '29', '117', '777', '59', '90', '51', '60']",Mordekaiser,Yone,Zed,Jarvan IV,Syndra,Malzahar,Twitch,Caitlyn,Lulu,Elise
EUW1_7304240493,0.44544732039223456,0.3163113594055176,1,0.5545526796077654,0.6836886405944824,DraftGap,"['31', '72', '134', '21', '147', '9', '254', '38', '81', '902']",Cho'Gath,Fiddlesticks,Skarner,Vi,Syndra,Kassadin,Miss Fortune,Ezreal,Seraphine,Milio
EUW1_7304023103,0.5911895196290723,0.6500832438468933,1,0.4088104803709277,0.3499167561531067,LoLDraftAI,"['17', '76', '517', '42', '201', '80', '32', '238', '202', '143']",Teemo,Pantheon,Nidalee,Amumu,Sylas,Zed,Corki,Jhin,Braum,Zyra
EUW1_7304304272,0.580348733428465,0.5080764293670654,0,0.580348733428465,0.5080764293670654,LoLDraftAI,"['98', '59', '61', '42', '432', '19', '80', '7', '29', '350']",Shen,Warwick,Jarvan IV,Pantheon,Orianna,LeBlanc,Corki,Twitch,Bard,Yuumi
EUW1_7298886203,0.4575912737271327,0.5102991461753845,0,0.4575912737271327,0.5102991461753845,DraftGap,"['98', '106', '166', '202', '143', '27', '154', '133', '222', '12']",Shen,Singed,Volibear,Zac,Akshan,Quinn,Jhin,Jinx,Zyra,Alistar
EUW1_7298498479,0.6008326479154908,0.674077570438385,1,0.39916735208450915,0.325922429561615,LoLDraftAI,"['54', '77', '55', '42', '3', '875', '233', '134', '202', '526']",Malphite,Sett,Udyr,Briar,Katarina,Syndra,Corki,Jhin,Galio,Rell
